German,Occidental
"Staub saugen, entstauben",depolvar
Staubsauger,depolvator
entvölkern,depopular
Entvölkerung,depopulation
"deportieren, des Landes verweise",deportar
Deportation,deportation
"niederlegen, niedersetzen, deponieren, hinterlegen",deposir
auf der Bank anlegen,deposir in li bank
Depot,depositoria
"enteignen, aus dem Besitze einer Sacher vertreiben",deposseder (alquam al alquó) 
"seitdem, nachher",depoy
"verschlechtern, verderben",depravar
verdorben,depravat
"herabsetzen, mindern",depreciar
"niederdrücken, herabdrücken, deprimieren",depresser
"niedergeschlagen, deprimiert",depresset
Depression,depression
depressiv,depressiv
"läutern, reinigen",depurar
"Läuterung, Reinigung",depuration
"läuternd, reinigend",depurativ
abordnen,deputar
"Abgeordneter, Deputierter",deputate
Abgeordneter,deputato
"in Unordnung bringen, verwirren, stören",derangear
entgleisen,derelar
"verspotten, verlachen",derider
ableiten,derivar
Ableitung,derivation
ableitend,derivativ
"wilde Flucht, Niederlage, Schlappe",derute
Vorsilbe mit der Bedeutung des Gegenteils,des-
abbestellen,desabonnar
abgewöhnen,deacustomar
unangenehm,desagreabil
verschwinden,desaparir
missbilligen,desaprobar
"Missbilligung, Verärgerung",desaprobation
entwaffnen,desarmar
Nachteil,desavantage
hässlich,desbell
entwirren,desbrolliar
"herunterladen (Internet), downloaden, abladen",descargar
"herabsteigen, heruntersteigen",descender
aussteigen,descender de
"hinausgehen, aussteigen, untergehen",descender
"Abkomme, Nachkomme",descendente
"Abstammung, Herkunft",descendentie
Sonnenuntergang,descension del sole
abraten,desconsiliar
unzufrieden,descontent
entkorken,decorcar
entrinden,descorticar
beschreiben,descrir
Beschreibung,descrition
beschreibend,descritiv
"abhängen (vom Haken), abhaken",descrocar
seit,desde
Wüste,deserte
"desertieren, fahnenflüchtig werden",deserter
Desertierung,desertion
"Deserteur, Fahnenflüchtiger",desertor
"(den Tisch) abdecken, (Speisen) abdecken, abräumen",deservir
"jemanden schaden, einen schlechten Dienst erweisen",deservir alquem
verzweifeln,desperar
Verzweiflung,desperantie
schwierig,desfacil
Schwierigkeit,desfacilitá
"den Ruf beeinträchtigen, diffamieren",desfamar
Rufschädigung,desfamation
"ungünstig, abfällig",desfavorabil
Ungunst,desfavore
Misstrauen,desfide
Misstrauen,desfidentie
misstrauen,desfider
"verwelken, verblühen",desflorar
"Unglück, Unheil",desfortun
unglücklich,desfortunosi
"auslösen (einen Pfand), befreien, los machen",desgagear
"von etwas entblößen, abdecken",desgarnir
Tauwetter,desgela
"eklig, schockierend",desgustant
anekeln,desgustar
Ekel,desguste
Entehrung,deshonor
entehren,deshonorar
"bezeichnen, bestimmen, kennzeichnen",designar
"Kennzeichnung, Bestimmung",designation
abgewöhnen,deshabituar
"Enttäuschung, Desillusion",desilusion
"desillusionieren, enttäuschen",desilusionar
"von Bord gehen, ausschiffen",desinbarcar
abgeneigt sein,desinclinar
abgeneigt,desinclinat
Abneigung,desinclination
Wortendung,desinentie
entlassen,desingagear
wünschenswert,desirabil
"wünschen, begehren",desirar
was wünschen Sie?,quo vu desira?
Wunsch,desire
verschlechtern,desmeliorar
Verschlechterung,desmelioration
"ausziehen, ablegen",desmetter
ungehorsam,desobidient
Ungehorsamkeit; Ungehorsam,desobidientie
arbeitslos,desocupat
Arbeitslosigkeit,desocupation
"verwüsten, verheeren, jemanden betrüben",desolar
"desolat, verwüstet, verheerend",desolat
Missachtung,despecte
missachten,despecter
"missachtend, voller Missachtung seiend",despectosi
schälen,despellar
"verzweifelt, verwegen",desperat
"Enttäuschung, Ärger",despite
Despot,despot
despotisch,despotic
Despotismus,despotisme
"geringschätzen, verachten",despreciar
Geringschätzung,desprecie
beunruhigen,desquietar
"verachten, geringschätzen",desrespectar
Nachspeise,dessert
abräumen,desservir
zeichnen,dessinar
Zeichner,dessinator
Zeichnung,dessine
Zeichenbrett,dessinuore
"Empfänger, Adressat",destinatario
"Bestimmung, Schicksal",destination
"Bestimmung, Schicksal, Los",destine
absetzen,destituer
Absetzung,destitution
zerstören,destructer
Zerstörung,destruction
zerstörerisch,destructiv
Zerstörer,destructor
entjungfern,desvirginar
"ausführlich darlegen, ins Detail gehen",detailliar
"detailliert, ausführlich",detalliat
"Kleinigkeit, Detail",detallie
aufdecken,detecter
"Aufdeckung, Aufspüren",detection
Detektiv,detective
"festhalten, zurückhalten, im Besitz haben, abhalten",detener
beschädigen,deteriorar
Beschädigung,detoriation
"bestimmen, festlegen, beschließen, hervorrufen",determinar
bestimmend,determinativ
"Bestimmung, Festlegung, Entscheidung",determination
ausgraben,deterrar
verabscheuungswürdig,detestabil
verabscheuen,detestar
Abscheu,destestation
"explodieren, detonieren, knallen",detonar
"Explosion, Detonation, Knall",detonation
Zünder (Bombe),detonator
"Krümmung, Biegung, Umweg, Abkehr",detorn
"krümmen, biegen",detornar
hinter,detra
hinten,in detra
Hintertreppe,detra-scaliere
"herabsetzen, beeinträchtigen",detracter
"Lästerer, Kritiker",detractor
"Nachteil, Schaden",detriment
schaden,detrimentar
entwerten,devaluar
Entwertung,devaluation
"verheeren, verwüsten",devastar
"Verwüstung, Verheerung",devastation
entwickeln,developar
werden,devenir
"Pflicht, Verpflichtung, Schuldigkeit",deve
Treuepflicht,deventie
"müssen, sollen",dever
"Wasserablass, Wehr",deversuore
abweichen,deviar
Abweichung,deviation
"widmen, weihen, aufopfern",devoer
"sich hingeben, sich widmen",devoer se
"auswickeln, auspacken",devoluer
verschlingen,devorar
Hingabe,devotion
"geschickt, gewandt, fingerfertig",dexteri
"Geschick, Fingerfertigkeit",dexteritá
rechts,dextri
nach rechts,a dexstre
"Zuckerkrankheit, Diabetes",diabete
Teufel,diábol
Teufelei,diaboleríe
teuflisch,diabolic
diakritisch,diacritic
"durchsichtig, durchscheinend",diafan
täglich,dial
Dialog,dialog
Diamant,diamant
Tonleiter,diapason
Durchfall,diaré
täglich,diari
Tagebuch,diarium
Schmähschrift,diatribe
"diktieren, vorschreiben",dictar
Diktat,dictat
Diktator,dictator
diktatorisch,dictarori
Diktatur,dictatura
"Vortrag, Sprache, Schreibweise",diction
Tag,die
Wochentag,die ordinari
Diät,diete
"diffamieren, in schlechten Ruf bringen",difamar
Diffamierung,difamation
diffamierend,difamatori
verschieden,diferent
differenzieren,diferentiar
"Unterschied, Differenz",diferentie
sich unterscheiden,diferer
"hässlich, unförmig",diform
"das Licht brechen, beugen",difracter
"Doppellaut, Diphtong",diftong
"verbreiten, propagieren",difuser
"Verbreitung, Propagandierung",difusion
Damm,diga
verdauen,digester
Verdauung,digestion
verdaulich,digestiv
digital,digital
sich herablassen,dignar
würdig,digni
Würde,dignitá
Würdenträger,dignitario
abschweifen,digresser
Umschweif,digression
"auseinanderreißen, zerreißen",dilacerar
ausdehnen,dilatar
"Ausdehnen, Ausdehnung",dilatation
Dilettant,dilettante
Postkutsche,diligence
"fleißig, emsig",diligent
Fleiß,diligentie
verdünnen (mit Wasser),diluer
Verdünnung (mit Wasser),dilution
Sintflut,diluvie
"verringern, abnehmen",diminuer
"Abnahme, Verminderung",diminution
dynamisch,dinamic
Dynamik,dinamica
Dynamit,dinamite
Dynamo,dinamo
dynastisch,dinastic
Dynastie,dinastie
Mittagessen,diné
Mittag essen,dinear
"Sprengel, Diozöse",diocese
Diplom,diploma
sagen,dir
direkt,direct
leiten,directer
Richtung,direction
"Direktor, Leiter",director
"Zerfall, Verfall",discade
"zerfallen, verfallen",discader
"auseinanderhalten, sondern, erkennen",discerner
"Schüler, Anhänger, Jünger",disciple
Scheibe,disco
Abzug (Skonto),disconto
Zwietracht,discordie
Zwietracht,discordantie
Diskothek,discoteca
"abweichend, widersprüchlich",discrepant
"verschieden sein, widersprechen",discrepar
Diskrepanz,discrepantie
"abhandeln, einen Vortrag halten",discurrer
"Rede, Vortrag",discurse
diskutieren,discusser
Diskussion,discussion
seine Gunst/Gnade entziehen,disgraciar
Ungnade,disgracie
"nicht zusammenpassend, verschiedenartig, disparat",disparat
"entheben, entbinden (jmd. von etwas)",dispensar
"ausstreuen, zerstreuen, verteilen",disperser
"Zerstreuung, Verteilung",dispersion
"anordnen, zur Verfügung stellen",disponer
verfügbar,disponibil
Verfügbarkeit,disponibalitá
"verfügen, anordnen",disposir
"Verfügung, Anlage (Fähigkeit)",disposition
streiten,disputar
Streitführer,disputator
Streit,dispute
"zergliedern, aufmerksam prüfen, sezieren",dissecter
"Zergliederung, Sezierung",dissection
"Zwist, Dissens",dissension
eine gelehrte Abhandlung schreiben,dissertar
"Doktorarbeit, Dissertation, Abhandlung",dissertation
Dissident,dissidente
"Abweichung (in Religion, Politik usw.)",dissidentie
"spalten, anders denken (in Ideologie usw.)",dissider
"verbergen, verheimlichen, verstellen",dissimular
"Heuchelei, Verstellung",dissimulation
"verschwenden, verschleudern, zerteilen, auflösen",dissipar
"Verschwendung, Vergeudung",dissipation
auflösen,dissoluer
Auflösung,dissolution
in Missklang stehen,dissonar
Missklang,dissonantie
"jemanden abraten, jemanden etwas ausreden",dissuader
entfernt,distant
"Abstand, Entfernung",distantie
entfernt sein,distar
"blähen, dehnen",distender
"destillieren, brennen (Alkohol)",distillar
"Destillerie, Schnapsbrennerei",distillería
"unterschieden, deutlich, bestimmt",distint
"unterscheiden, sich abheben",distinter
vornehm,distintet
Unterscheidung,distintion
"zerstreuen, absondern",distracter
"Zerstreuung, Unterhaltung, Ablenkung",distraction
verteilen,distribuer
Verteilung,distribution
verteilend,distributiv
Verteiler,distributor
Bezirk,districte
stören,disturbar
Störung,disturbation
sich entfalten,disvoluer
dito,dito
"umherirren, irre reden",divagar
"abweichend, divergent",divergent
"Abweichung, Divergenz",divergentie
"auseinander laufen, voneinander abweichen",diverger
verschieden,diversi
diversifizieren,diversificar
"belustigen, vergnügen",divertisser
Vergnügen,divertissement
viel Spaß,bon divertissement
"vergnügen, belustigen",divertisser
Dividende,dividende
teilen,divider
geteilt durch,dividet per
göttlich,divin
"raten, erraten",divinar
Göttlichkeit,divinitá
teilbar,divisibil
"Teilung, Division",division
scheiden,divorciar
geschieden,divorciat
Scheidung,divorcie
"vertreiben, senden, unter die Leute bringen",divulgar
"Aussendung, Vertrieb",divulgation
"deshalb, darum, also",do
Zoll,doane
Zöllner,doanero
Dock,dock
Dozent,docente
lehren,docer
"gelehrig, empfänglich, folgsam",docil
Gelehrsamkeit,docilitá
weise,doct
"doktrinär, einer Lehre folgend",doctrinari
"Doktrin, Lehre",doctrine
"Ausweis, Dokument",document
dokumentarisch,documentari
Unterlagen,documentes
Daube,doga
Dogma,dogma
dogmatisch,dogmatic
schmerzen,doler
Dollar,dóllar
Dolomit,dólomit
schmerzen,dolorar
Schmerz,dolore
schmerzhaft,dolorosi
Haus,dom
Kaufhaus,dom de comercie
Bungalow,dom de un etage
"Domäne (auch Internet!), Besitztum",domene
"häuslich, zahm",domestic
Hausdienerin,domestica
Hausdiener,domestico
"Wohnsitz, Wohnort",domicilie
"Hausfrau, Herrin",dómina
"dominant, vorherrschend",dominant
Herrschaftsgebiet,dominia
"Herr, Hausherr, Gebieter",dómino
zähmen,domitar
Zähmung,domitation
"Geschenk, Gabe",don
schenken,donar
Geschenk,donation
"Schenker, Spender, Geber",donator
"verwöhnen, verhätscheln",dorlotar
Verhätschelung,dorlotation
"Muttersöhnchen, Milchgesicht",dorloton
schläfrig,dormaci
Schlaf,dorme
schläfrig,dormient
schlafen,dormir
Schlafmittel,dormitive
Schlafzimmer,dormitoria
Rücken,dorse
Dosis,dosa
Datei,dossiere
Mitgift,dot
mit einer Mitgift versehen,dotar
Dutzend,dozene
dreschen,drachar
Drache (Sagentier),dracon
Drache (Spielzeug),dracon volant
"Zuckerwerk, Bonbon",dragé
"baggern, aus baggern",draggar
Bagger,draggator
Dragoner (Soldat),dragon
Drama,drama
dramatisch,dramatic
dramatisieren,dramaticar
Dramaturg,dramaturg
Dramaturgie,dramaturgie
"Tuch, Stoff",drap
"verhüllen, drapieren",drapar
drastisch,drastic
Abflussrohr,dren-tub
"Entwässerung, Trockenlegung",drenage
trockenlegen (durch Abzugsröhren),drenar
"abrichten (Tiere), dressieren",dresser
Dressur,dressura
dribbeln (Fußball),dribblar
"bohren, Drill bohren",drillar
"treiben, abdriften",drivar
Droge,drogue
"drollig, lustig, skurril",drolli
Posse,drolleríe
Dromedar,dromedare
ertrinken,dronar
Drohne,drone
Druide,druide
"zwei, 2",du
zweimal,du vezes
"dual, doppelt",dual
Dualismus,dualisme
"zwanzig, 20",duant
"zweiundzwanzig, 22",duantdu
zwanzigster,duantesim
"einundzwanzig, 21",duantun
zweifelhaft,dubitabil
zweifeln,dúbitar
Zweifel,dúbite
"zweifelhaft, voller Zweifel",dúbitosi
Herzog,duc
herzoglich,ducal
Dukate,ducate
Herzogtum,ducatu
"zweihundert, 200",ducent
Herzogin,ducessa
duschen,duchar
Dusche,duche
Dusche,duchuore
führen,ducter
"dehnbar, streckbar, geschmeidig",ductil
Dehnbarkeit,ductilitá
Führung,duction
führend,ductiv
Führer,ductor
Duellant,duellante
duellieren,duellar
Duell,duelle
zweiter,duesim
Duett,duett
süß,dulci
Süße,dulcitá
"zweitausenddreihundert fünf, 2305",du mill tricent quin
"also, daher, folglich",dunc
Düne,dune
betrügen,dupar
Betrug,dupation
Betrüger,dupator
"Narr, Betrogener, Betrogener",dupe
Betrügerei,duperíe
"zweifach, doppelt",duplic
"verdoppeln, vervielfältigen",duplicar
Verdoppelung,duplication
"Kopie, Duplikat",duplicate
"Zweifachheit, Doppelzüngigkeit",duplicitá
hart,dur
Dauer,dura
"dauerhaft, haltbar",durabil
Dauer,durada
während,durant (que)
Dauer,durantie
dauern,durar
Dauer,duration
Härte,duritá
und,e
gehen,ear
abholen,ear prender
Ebenholz,eben
Kunsttischler,ebenist
betrunken,ebri
Trunkenheit,ebrietá
"erklären, beleuchten, aufhellen, erhellen",eclarar
"Beleuchten, Aufhellung",eclaration
"Eklat, Skandal, Knall, Splitter",eclate
Kirche (Gebäude),eclesia
kirchlich,eclesial
"Konfession, Kirchengemeinschaft, Geistlichkeit",eclesie
Finsternis,eclipse
Mondfinsternis,eclipse lunari
Sonnenfinsternis,eclipse solari
Echo,ecó
wirtschaftlich,economic
Wirtschaft,economie
"sparen, sparsam haushalten",economisar
"Bildschirm, Leinwand, Schirm, Gitter",ecran
"Erlass, Verordnung, Edikt",edicte
"erbauen, aufbauen, belehren",edificar
Baumeister,edificator
Gebäude,edificie
"herausgeben, verlegen",editer
"Ausgabe, Edition",edition
"Herausgeber, Verleger",editor
Verlag,editoria
erziehen,educar
erzieherisch,educativ
Erziehung,education
Erzieher,educator
löschen,efaciar
"erschrecken, verscheuchen",efaruchar
Wirkung,efecte
"wirken, bewirken",efecter
"wirksam, effektiv",efectiv
"durchsetzen, umsetzen",efectivar
"ausführen, bewerkstelligen",efectuar
"Ausführung, Umsetzung",efectuation
"eintägig, vergänglich",efemeri
"aufbrausen, aufwallen, schäumen, sprudeln",efervescer
"aufbrausend, aufwallend",efervescent
"Aufbrausen, Aufwallen, Sprudeln",efervescentie
wirksam,eficaci
Wirksamkeit,eficacitá
"dünn, scharf, spitz",efilat
Bildnis,efigie
ausfließen,efluer
entblättern,efoliar
"sich bemühen, sich anstrengen",efortiar se
"Bemühung, Anstrengung",efortie
"ausgelassen, zügellos",efrenat
"ausgießen, vergießen, ausströmen",efuser
Blutvergießen,efusion de sangue
"gleich, gleichgültig",egal
ausgleichen,egalisar
"Gleichheit, Unentschieden (Sport)",egalitá
"egalitär, gleichmacherisch",egalitari
Rücksicht,egard
"betrachten, berücksichtigen, ansehen als",egardar
Ägypten,Egiptia
ägyptisch,egiptian
Schellfisch,eglefin
"ejakulieren, ausspritzen, ausstoßen",ejacular
Ejakulation,ejaculation
auswerfen,ejecter
ausarbeiten,elaborar
"Elan, Anlauf, Satz, Sprung",elan
verbreitern,elargar
elastisch,elastic
Gummiband,elasticage
"Elastizität, Dehnbarkeit",elasticitá
wählen,electer
wählerisch,electibil
Wahl,election
Wähler,elector
elektrisch,electric
Elektrizität,electricitá
"durch Starkstrom töten, hinrichten durch Strom",electrocuter
E-Mail,electronic posta
Elefant,elefant
elegant,elegant
Element,element
"elementar, grundsätzlich",elementari
Schüler,elev
Schülerin,eleva
"erhöhen, erheben, steigen",elevar
Schüler,elevo
Aufzug,elevator
Elfe,elf
"ausschalten, eliminieren",eliminar
"Ausschaltung, Eliminierung",elimination
sie (3. Pers. Sgl. f.),ella
sie (3. Pers. Pl. f.),ellas
"Ausdrucksweise, Vortrag",elocution
lobpreisen,elogiar
Lob. Preis,elogie
lobpreisend,elogiosi
"beredt, eloquent",eloquent
"Eloquenz, Beredsamkeit",eloquentie
"aufhellen, aufklären, erläutern",elucidar
mühsam ausarbeiten,elucubrar
"ausfließen, ausströmen, herrühren",emanar
"Ausfluss, Ausströmen",emanation
Verlegenheit,embarassament
"beschämen, verlegen machen",embarassar
"beschämt, verlegen",embarassat
"Emblem, Sinnbild",emblema
"Schießscharte, Fensternische",embrasura
Embryo,embrion
embryonisch,embrionic
verbessern (durch Abändern),emendar
"ausgedient , im Ruhestand, aus gelernt",emerit
"Emeritierung, in den Ruhestand gehen",emerition
"auftauchen (aus Wasser), hervorragen",emerser
Auftauchen (aus Wasser),emersion
"hervorheben, betonen",emfasar
"Nachdruck, Betonung",emfase
"Auswanderer, Emigrant",emigrant
"auswandern, emigrieren",emigrar
"Auswanderung, Emigration",emigration
"hervorragend, bedeutend",eminent
hervorragen,eminer
E-Mail,e-missage
absenden,emisser
"Absendung, Sendung",emission
"Sender, Abgesandter",emissario
"rühren, bewegen",emoer
"Emotion, Gefühl",emotion
"emotionell, gefühlsbetont",emotiv
Anstellung,employament
"anstellen, beschäftigen",employar
angestellt,employat
Angestellter,employato
Arbeitgeber,employator
Arbeitgeber,employero
wetteifern,emular
"Wachsfarbe, Bohnerwachs",encaustic
enklitisch (Anhängsel),enclitic
"entnerven, schwächen, reizen",enervar
"übermüdet, gereizt",enervat
Rätsel,enigma
rätselhaft,enigmatic
Langeweile,enoya
langweilig,enoyant
langweilen,enoyar
Wesenheit,enitá
Wesen,ente
"übereinkommen, sich verständigen",entender
"Fan, Enthusiast",enthusiast
entkernen,enuclear
aufzählen,enumerar
Aufzählung,enumeration
"aussprechen, ausdrücken",enunciar
auf (griechische Vorsilbe),epi-
Bischof,epíscop
bischöflich,epicopal
Bistum,episcopatu
Brief (poetisch und in gehobener Sprache),epistul
"Beiwort, Benennung",epitete
"Epoche, Zeitspanne",epoca
epochal,epocal
Schulter,epol
Schulterstück,epolette
Epos,epopé
Äquator,equator
Gleichung,equation
gleich (Vorsilbe in wissenschaftlichen Wörtern),equi-
ausgleichen,equilibrar
Gleichgewicht,equilibre
Tagundnachtgleiche,equioctie
"Rotte, Mannschaft",equip
Ausrüstung,equipage
ausrüsten,equipar
Schwebebalken,equilibrie-trave
Billigkeit,equitá
den gleichen Wert haben,equivalar
gleichwertig,equivalent
Gleichwertigkeit,equivalenie
"doppelsinnig, zweideutig, verdächtig",equivoc
"sich vor etwas drücken, Ausflüchte suchen",equivocar
Ära,era
entwurzeln,eradicar
"Entwurzelung, Ziehen der Wurzel",eradication
"wegreißen, entreißen",eraffar
"löschen, ausradieren",eraser
"Löschung, Radierung",erasura
"aufrichten, errichten, errigieren",erecter
Erektion,erection
"folglich, also, daher",ergo
"Heidekraut, Erika",erica
Igel,erinacio
"zerfressen, anfressen",eroder
Erosion,erosion
"Irrtum, Versehen",erra
"sich irren, Fehler machen",errar
"Fehler, Irrtum",errore
Raupe,eruca
"Bildung beibringen, herausfinden",erudir
"Gebildeter, Weiser",erdudito
ausbrechen,erupter
Ausbruch,eruption
Geschwader,escadre
Schwadron,escadron
"Kunstgriff, Trick",escamotage
"verschwinden lassen, beiseite schaffen",escamotar
"entkommen, entwischen, entschlüpfen",escapar
"wegschaffen, beiseite schieben",escartar
"Eskorte, Geleit",escorte
Zeche,escote
fechten,escrimar
Fechter,escrimator
"Fechten, Fechtkunst",escrime
Fechter,escrimero
"zuhören, hören",escutar
Zuhörer,escutero
Zuhörer,escutator
Email,esmalte
Speiseröhre,esofog
Schwert,espade
buchstabieren,espelar
Hoffnung,espera
Hoffnung,esperantie
hoffen,esperar
"Geist, Witz, Scharfsinn",esprite
geistreich,espritosi
Geistesreichtum,espritositá
"ob, etwa (Fragepronomen)",esque
skizzieren,esquissar
Skizze,esquisse
"essentiell, wichtig",essential
"Gehalt, Essenz",essentie
fehlen,esser absent
sein aus,esser de / ex
dürfen,esser líber
Recht haben,esser rect
sein (Verb),esser
abwischen,essuyar
"Wischtuch, Staubtuch",essuyette
Auslage,estalage
"auslegen, ausbreiten, ausstellen",estalar
Ästhet,estete
ästhetisch,estetic
Ästhetik,estetisme
"wertschätzen, schätzen, verehren",estimar
"geschätzt, verehrt",estimat
"Verehrung, Wertschätzung",estimation
sommerlich,estival
Sommer,estive
Estland,Estonia
"Estrade, erhöhter Platz",estrade
Mündung,estuarie
"Futteral, Etui",estuche
Alter,etá
volljährig,in plen etá
"einrichten, aufstellen, errichten, gründen",etablisser
sich niederlassen,etablisser se
Stockwerk,etage
Eichmaß,etalon
Äther,etere
ewig,etern(i)
verewigen,eternisar
Ewigkeit,eternitá
"ethisch, sittlich",etic
Ethik,etica
etymologisch,etimologic
Etymologie,etimologie
Etymologe,etimologo
Äthiopien,Etiopia
äthiopisch,etiopian
"alt, betagt",etosi
"wenngleich, obgleich",etsi
Euro,euro
Europa,Europa
Europäische Union,Europan Union
europäisch,europan
"räumen, evakuieren",evacuar
"Evakuierung, Räumung",evacuation
entfliehen,evader
abschätzen,evaluar
"Schätzung, Evaluation",evaluation
Ohnmacht,evanescement
"bewusstlos, in Ohnmacht",evanescent
ohnmächtig werden,evanescer
verdunsten,evaporar
Verdunstung,evaporation
"Spitzfindigkeit, Haarspalterei",evasion
"Geschehnis, Ereignis",eveniment
"geschehen, stattfinden",evenir
ausschütten,eversar
Ausguss,eversuore
"verdrängen, ausstechen",evicter
offensichtlich,evident
"Beweis, Augenscheinlichkeit",evidentie
vermeidbar,evitabil
vermeiden,evitar
"heraufbeschwören, wachrufen",evocar
Anrufung,evocation
entwickeln,evoluer
"Evolution, Entwicklung",evolution
entwickeln,evolutionar
"aus, heraus",ex
"verschärfen, reizen, erbittern",exacerbar
"Erbitterung, Verschärfung",exacerbation
"genau, exakt",exact
übertreiben,exagerar
Übertreibung,exageration
"erheben, preisen, aufregen",exaltar
"Aufregung, Erhebung",exaltation
Untersuchung,examination
Examen. Prüfung,exámine
"reizen, erbittern",exasperar
"Erbitterung, Reizen",exasperation
erhören,exaudir
"aushöhlen, ausgraben",excavar
Aushöhlung,excavage
Aushöhlung,excavation
"überschreiten, übersteigen",exceder
"außerordentlich, übersteigert",excedent
hervorragen,exceller
"ausgezeichnet, vorzüglich",excellent
Exzellenz,excellentie
außer,except
ausnehmen,excepter
Ausnahme,exception
außergewöhnlich,exceptional
Ausschnitt,excerpte
"zusammenfassen, exzerpieren",excerpter
"Exzess, Ausschreitung",excess
exzessiv,excessiv
Austausch,exchange
"wechseln, austauschen",exchangear
sich aufregen,excitar
Aufregung,excitation
ausrufen,exclamar
Ausruf,exclamation
ausschließen,excluder
Ausschluss,exclusion
"exklussiv, ausschließend",exclusiv
Exklusivität,exclusivitá
exkommunizieren,excommunier
Exkommunikation,excommion
"entrinden, abdecken",excorticar
Abdecker,excorcitator
ausscheiden,excreer
"Kot, Ausscheidung",excrement
"herausbilden, einen Auswuchs bilden",excrescer
Ausscheidung,excretion
"von Schuld lossprechen, entschuldigen",exculpar
"Vergebung, Entschuldigung (von Schuld)",exculpation
einen Ausflug machen,excurrer
Ausflug,excursion
Entschuldigung,excusada
entschuldigen,excusar
bitte entschuldigen Sie mich,ples excusar me
"Ausfahrt, Ausgang",exeada
"herausgehen, weggehen",exear
verwünschen,execrar
Verwünschung,execration
ausführen,executer
"Ausführender, Henker",executero
"Hinrichtung, Ausführung, Vollstreckung, Exekution",execution
"exekutiv, ausführend",executiv
beispielhaft,exemplari
Beispiel,exemple
zum Beispiel,por exemple
befreien (von etwas),exempter
Üben,exercida
"üben, ausüben, trainieren",exercir
Übung,exercitie
"Training, Übung",exercition
"ausfließen, herausfließen",exfluer
sich anstrengen,exfortiar se
Abtropfbrett,exguttuore
aushauchen,exhalar
"Ausatmung, Hauch",exhalation
erschöpfen,exhauster
"ausverkauft, erschöpft",exhaustet
erschöpfend,exhaustiv
zur Schau stellen,exhibir
"Ausstellung, Zurschaustellung",exhibition
"ermahnen, ermuntern",exhortar
Ermahnung,exhortation
"ausgraben, exhumieren",exhumar
"Exhumierung, Ausgrabung",exhumation
"dringend, streng",exigent
"Erfordernis, Dringlichkeit",exigentie
"fordern, erfordern",exiger
verbannen,exiliar
"Exil, Verbannung",exilie
"existent, bestehend",existent
Existenz,existentie
"existieren, bestehen",exister
exmatrikulieren,exmatricular
"entlasten (jur.), befreien",exonerar
"Entlastung (jur.), Befreiung",exoneration
übermäßig,exorbitant
böse Geister austreiben,exorcisar
Exorzismus,exorcisation
Exot,exot
exotisch,exotic
Exotik,exotisme
"ausbreiten, erweitern",expander
"Expansion, Erweiterung, Ausbreitung",expansion
"expansiv, erweiternd",expansiv
aus dem Vaterland vertreiben,expatriar
"Vertreibung, Ausweisung (aus der Heimat)",expatriation
erwarten,expectar
Erwartung,expectation
erwartend,expectativ
aushusten,expectorar
Ausweg,expediente
"versenden, senden, liefern",expedir
Expedition,expedition
"Spediteur, Fuhrunternehmer",expeditor
"Ausgabe, Auslage",expense
ausgeben,expenser
teuer,expensiv
Erfahrung,experientie
Experiment,experiment
experimentieren,experimentar
"erfahren, Erfahrung machen",experir
erfahren,experit
sühnen,expiar
Sühne,expiation
"1 .auslaufen, ablaufen; 2. ausatmen, aushauchen (den Geist)",expirar
"1. Ablauf, Verstreichen; 2. Ausatmung",expiration
erklären,explicar
Erklärung,explication
"ausdrücklich, explizit",explicit
explodieren,exploder
erforschen,explorar
"Erforschung, Forschung",exploration
Explosion,explosion
Forscher,explorator
explosiv,explosiv
ausbeuten,explotar
Ausbeutung,explotation
Ausbeuter,explotero
exponieren,exponer
exportieren,exportar
"ausstellen, darlegen, (Leben) aufs Spiel setzen",exposir
sonnen,exposir al sole
Ausstellung,exposition
Weltausstellung,exposition universal
Aussteller,expositor
ausdrücken,expresser
Ausdruck,expression
Expressionismus,expresionisme
Expressionist,expressionist
"expressiv, ausdrucksstark",expressiv
Ausdrucksstärke,expressivitá
aus dem Stehgreif,exprompte
enteignen,expropriar
"ausweisen, ausstoßen",expulser
"Ausweisung, Vertreibung",expulsion
reinigen,expurgar
Reinigung,expurgation
"auserlesen, köstlich, fein, exquisit",exquisit
verbluten,exsanguer
Verbluten,exsanguation
"unvorbereitet, improvisiert",extémpore
"ausbreiten, ausdehnen",extender
"Ausdehnung, Erweiterung",extension
extensiv,extensiv
"erschöpfen, entkräften",extenuar
"heraus, draußen, außen",éxter
"äußerlich, auswendig",exteriori
Äußeres,exterioritá
Ausland,exterland
ausrotten,exterminar
Ausrottung,extermination
"äußerer, extern, außen-",extern
ausgraben,exterrar
Ausgrabung,exterration
"ausgehen, verlöschen",extinter
"erloschen, verloschen",extintet
"ausziehen, herausziehen",extirar
"ausrotten, ausschneiden",extirpar
"erpressen,auswringen",extorder
Erpressung,extorsion
"außerhalb, außer",extra
ausliefern,extradir
Auslieferung,extradition
ausländisch,extran
Ausland,extrania
Ausländer,extrano
Zulage,extrapay
außergewöhnlich,extraordinari
"überspannt, toll, ungereimt",extravagant
Extravaganz,extravagantie
extrem,extrem
Extremität,extremitá
Extremist,extremist
Extremismus,extremisme
"sich vor etwas drücken, sich herauswinden",extricar se
"strotzend, üppig",exuperant
frohlocken,exultar
Frohlocken,exultation
