English,Gothic
Damascus,*Damasko (f. N)
daily,1. sinteino (adv) 2. sinteins (adj. A) 3. seiteins (adj. A)
damnation,afdomeins (f. I/O)
dance,laiks (m. A)
"dance, to",plinsjan (I i weak)
Dane,*Dans (m. I)
Danish,1. *Daniska (adj. A) razda (f. O) 2. *Danisks (adj. A)
danger,1. bireikei (f. N) (the state of being in danger) 2. sleiþei (f. N) (potential external harm or destruction)
dangerous,sleiþs (adj. I/Ja) (declined as -ja stem mostly)
Danube,*Donaweis (m. Ja)
"dare, to",anananþjan (I weak)
dark,*riqizeins (adj. A)
darkness,riqis (n. A)
dart,arhwazna (f. O)
darts,arhwaznos (f. O)
data,"*data (n. A plural), big ~ = mikila (adj. A plural) *data (n. A plural)"
database,*datahuzd (n. A)
dative,*dateibus (m. U)
daughter,dauhtar (f. R)
daughter-in-law,*snuza (f. O)
day,"dags (m. A), daily = daga hwammeh, ~ by ~ = daga jah daga, every ~ = dags hindar daga (as a continuation of days in which something happens), the eighth ~ = ahtaudogs (adj. A), the next ~ = afardags (m. A), to~ = himma daga,"
deacon,diakaunus (m. U)
deaf,to become ~ = afdaubnan (IV weak)
deafness,1. daubiþa (f. O) 2. daubei (f. N)
death,"dauþus (m. U), appointed to ~ = dauþubleis (adj. Ja)"
debt,skuld (n. A)
debtor,1. skula (m. N) 2. faihuskula (m. N) (Only occurs once)
decade (n.),taihun jera (n. A plural)
deceit,liutei (f. N)
deceitfullness,afmarzeins (f. I/O)
"deceive, to","1. afairzjan (I weak), he ~s himself = sis silbin fraþjamarzeins ist 2. usluton (II weak)"
"declare, to (v.)",gakannjan (I weak i)
declaration,insahts (f. I)
decree,gagrefts (f. I)
deed,"taui (n. Ja) (dat. sing. and nom./acc. plur. = toja, dat. plur. = tojam)"
deep,diups (adj. A)
deepness,diupei (f. N)
deer,1. *raiha (m. N) 2. *raihs (m. A)
"defend, to",gawitan (pret-pres)
"defiled, to be",bisaulnan (IV weak)
"deliver, to",undredan (abl red)
demon,1. unhulþo (f. N)
demonological,*unhulþaleis (adj. A)
demonologist,1. *unhulþaleis (m. A) (declined like an adjective) 2. *unhulþaleisa (f. O) (declined like an adjective)
demonology,*unhulþaleisei (f. N)
Denmark,Danimarka (f. O)
dentist,*tunþulekeis (m. Ja)
"deny, to",afaikan (VII)
"depart, to",1. afleiþan (abl. I) 2. aftiuhan (II abl)
departure,diswiss (f. I)
deposit,wadi (n. Ja)
"descend, to",gasteigan (I abl)
desert,1. auþida (f. O) 2. auþeis (adj. Ja)
desire,1. lustus (m. U) 2. gairnei (f. N)
"desire, to","1. luston (II weak) + gen (as in feeling lust for another person) 2. wiljan (conjugated as subjunctive) (desire as in to want something, having a desire)"
desirous,gairns (adj.)
desolate,ainakls (adj. A)
"despise, to",frakunnan (pret-pres) + dat.
destruction,fralusts (f. I)
"determine, to (v.)",raidjan (I weak i) rightly dividing the word of truth = raihtaba raidjandan waurd sunjos
devil,1. diabaulus (m. U) (the devil) 2. unhulþo (f. N) (a devil)
devout,gudafaurhts (adj. A)
dictionary,(neol) *waurdabokos (f. O)
"die, to",1. gaswiltan (III abl)
difference,1. gaskaideins (f. I/O) 2. anþarleikei (f. N) (only in skeireins)
different,missaleiks (adj. A)
difficult,1. aglus (adj. U) 2. agluba (adv)
"dig, to (v.)",usgraban (VI abl.)
diligence (n.),usdaudei (f. N)
diligently (adv.),glaggwuba (adv.)
diminishing,wanains (f. I)
dinner,undaurnimats (m. I)
"disclose, to (v.)",andhuljan (I weak j)
discouragement,unlustus (m. U)
"discuss, to (v.)",sokjan samana (I weak i)
dishonour,unswerei (f. N)
"dismiss, to (v.)",letan (VII strong)
disobedience,ufarhauseins (f. I/O)
disorderly,ungatewiþs (past-perf)
dispensation,fauragaggi (n. Ja)
disposed,garaiþs (adj. A)
"dispute, to (v.)",sakan (VI abl) + dat.
disputed,*andsakans (part-perf)
disputer,sokareis (m. Ja)
"disregard, to",~ life = ufarmunnon (II weak) saiwalai
"dissemble, to (v.)","~ with someone = miþlitjan (I weak j) + dat (And the other Jews dissembled likewise with him , Gal. 2:13 = jah miþlitidedun imma þai anþarai Iudaieis)"
dissimulation (n.),lita (f. O)
distaff,*rukka (m. N)
distress,aggwiþa (f. O)
ditch,dals (m. Noun)
division,missaqiss (f. I) (in opinion between people)
"divorce, to",afsatjan (I weak)
divorcement,afsateins (f. I/O)
Dniepr,*Agaliggs (m. A) (>”magpie river” according to Peutinger map called like this by the Goths)
Dniester,*Nasuks (m. A) (the little nose)
doctor,"laisareis (m. Ja), ~ of the law = witodalaisareis (m. Ja)"
doctrine,laiseins (f. I/O)
document (n.),*karta (f. O)
dominion,fraujinassus (m. U)
donkey,assilus (m. U)
doomsday,*stauadags (m. A)
doubting,tweifleins (f. I/O)
dove (n.),ahaks (noun) (white tame dove)
"download, to",*ufarbairan (IV abl)
dragma,drakma (m. N)
dragon,1. *waurms (m. A) 2. *draka (m. An)
drake (n.),"*anudareiks (m. N) (duck-king, etymology of drake)"
dream,1. *swifns (m. A) 2. *draums (m. A)
"dream, to","*draumjan (heavy i weak), I dreamed = mik draumida"
drink (n.),dragk (n. A)
"drink, to",drigkan (III abl)
drugs,*lubi (n. Ja)
"drunk, to be",anadrigkan (III abl) + dat
drunkard,afdrugkja (m. N)
drunkenness,drugkanei (f. N)
dry,þaursus (adj. U)
dryad (wood-dweller),*widugauja (m. N)
duchess,*harjatugo (f. N)
Dublin,*Swartaswumfsl (n. A)
duck (n.),*anuþs (f. N)
duke,*harjatuga (m. N)
dust,stubjus (m. U)
Dutch,1. *niþralandja (m. N) 2. *niþralandisks (adj. A)
dwarf,*dwairgs (m. A)
"dwell, to (v.)",bauan (verb)
dwelling (n.),saliþwos (f. O) (plural)
dying,dauþeins (f. I/O)
eager,gairns (adj.)
eagerness (n.),aljan (n. A)
eagle,ara (m. N)
ear,"auso (n. N), ~ of corn = ahs (n. A)"
earl,*airls (m. A)
earlier,airis
early,air
earnest,wadi (n. Ja)
earth,airþa (f. O)
earthly (adj.),airþeins (adj. A)
earthquake,reiro (f. N)
earthy,1. airþeins (adj. A) 2. airþakunds (adj. A) (only occurs once in the skeireins)
easier,raþiza (Comp.)
east,"1. *austrs (m. A) 2. *austra- (adj.), from the ~ = *austana, in the ~ = *austar, to the ~ = *austar"
eastwards,*austar
easy,azets (adj. A)
"eat, to",matjan (I j weak)
ecclesiology,*aikklesjaleisei (f. N)
eclipse,"solar ~ = sunnins riqis (n. A), lunar ~ = menins riqis (n. A)"
Edda,*Izdo (f. N)
edification,gatimreins (f. I/O)
eel,*els (m. A)
effect (n.),taui (n. Ja)
effectual (adj.),waurstweigs (adj. A)
effectually (adv.),waurstweig
egg,*addi (n. Ja)
either,~ … or = andizuh … aiþþau
elbow,*aleinabuga (m. N)
elder,1. alþeis (adj. Ja) 2. praizbwtairei (f. N) (from jewish religion)
election,gawaleins (f. I/O)
electron,*elaiktraun (n.)
electronics,*elaiktraunika (n. A plural)
element,stafs (m. I) (f changes to b in gen. and dat. Sing. and all plural forms)
elf,1. *albs (m. A) 2. *albs (m. I)
e–mail,1. *e-bokos (f. O plural) (a mail itself) 2. *waurdasandja (f. O) (e-mail service) (lit. word-sender) 3. *waurdjo (f. Jon) (e-mail service) (lit. worder)
elsewhere,aljah
embassador,to be ~ = airinon (II weak)
emerald,*smaragdus (m. U)
emotion,*ahins (undeclined) drobna (m. N)
emperor,kaisar (m. A)
employee (n.),gawaurstwa (m. N)
empty,"laus (adj. A), with ~ hands = laushandus (adj. U)"
end,andeis (m. Ja)
"end, to (v.)",ustiuhan (II abl)
endless,1. andalaus 2. andilaus (adj. A)
"endure, to",usbeidan (I abl) + acc
enemy,fijands (m. Nd)
energy,*mahts (f. I)
entire (adj.),alls (adj. strong)
England,land (n. A) *aggile
English,*Aggils (adj. A)
Englishman,*Aggils (m. I)
"enlarge, to",urrumnan (IV weak)
"enlighten, to",inliuhtjan (I weak i)
Enlightment,*inliuhteins (f. I/O)
enmity,fijaþwa (f. O)
enough,it is ~ = ganah
"enriched, to be",gabignan (IV weak)
"enroll, to (v.)",anameljan (I weak)
entire,alls (adj. A)
envy,neiþ (n. A)
equality,ibnassus (m. U)
error,1. airzei (f. N) 2. airziþa (f. O)
"escape, to",unþaþliuhan (II abl) + acc
Esperantist,*Aispairantistus (m. U)
Esperanto,*Aispairanto (f. N)
estate,1. low ~ = hnaiweins (f. I/O) 2. *oþal (n. A)
eternal,aiweins (adj. A)
eternity,"1. aiws (m. A/I) (accusative plural declines as aiwins, the rest as an a-stem) 2. ajukduþs (f. I)"
Europe,*aiwropa (f. O)
European,1. (noun) *Aiwropus (m. U/I) 2. *aiwropisks (adj. A)
evangelist,aiwaggelista (m. N)
even,"often not translated or omitted, ~ so = swah"
evening,andanahti (n. Ja)
ever,for ~ and ~ = du aiwam
everlasting,aiweins (adj. A)
evermore,framwigis
every,"1. hwarjis (m.) (dat. = hwarjammeh, acc. = hwarjanoh) 2. hwarjatoh (n.) (gen. = hwarjizuh, dat. = hwarjammeh) 3. *hwarjoh (f.) (gen. = *hwarjizozuh, dat. = *hwarjaih acc. = hwarjoh) 4. in ~ thing = in allamma"
everywhere,hwaruh
evil,unþiuþ (n. A)
exactly (adv.),glaggwuba
"exalt, to",ushauhjan (I i)
"exalted, to be",ufarhafnan (IV weak)
"examine, to",ussokjan (I i weak)
example,frisahts (f. I)
"exceed, to",ufarþeihan (I abl)
"exclude, to",usletan (V red abl)
exclusion,*uslet (n. A)
excess,usstiurei (f. N)
except,alja + dat
"excuse oneself, to","1. sik faurqiþanana/a haban, (m) excuse me = habai mik faurqiþanana (f) habai mik faurqiþana 2. sunjon (II weak)"
exercise,usþroþeins (f. I/O)
expend (v.),fraqiman (IV abl) + dat
experiment,gakusts (f. I)
explanation,skeireins (f. I/O)
extraordinary,ussindo
eye,"augo (n. N), evil ~ = augo unsel, ~ of a needle = þairko (n. N), with one ~ = haihs (adj. A)"
eyeliner,*augaswartis (n. A)
eyewitness,silbasiuneis (m. Ja)
fable,spill (n. A)
face,1. ludja (f. Jo) 2. wlits (noun)
fainted,afdauiþs (part-perf)
faith,galaubeins (f. I/O)
faithful,galaubeins (adj. A)
falcon,*habuks (m. A)
fall,drus (m. Noun) (dative singular = drusa)
"fall, to","1. driusan (II abl), ~ down = atdriusan (II abl), ~ from = usdriusan (II abl), ~ upon = disdriusan (II abl) + acc 2. walwison (II weak), ~ on the ground = ana airþa walwison (II weak)"
fallow,*falws (adj. Wa)
fame (n.),meriþa (f. O)
familiar,biuhts (adj. A)
family,1. gards (m. I) (literally: house) 2. fadreins (f. I) (literally: lineage)
famine,huhrus (m. U)
fan,winþiskauro (f. N) (to blow wind)
farao,farao (m. N)
farewell,to bid ~ = andqiþan (V abl)
fasting,lausqiþrei (f. N)
fate,*waurþs (f. I)
father,"1. atta (m. N) 2. fadar (m. R) (Only occurs once and used for an earthly father, but atta can be used for an earthly father too.)"
"fatigue, to",*afdojan (I weak)
"fatten, to (v.)",aljan (I weak j)
favoured,audahafts (adj. A)
fear,agis (n. A)
feast,dulþs (f. I)
feather,*fiþra (f. O)
feeble,gamaiþs (adj.)
feebleminded,grindafraþjis (adj. Ja)
fellowship,gamainei (f. N)
female,qineins (adj. A)
Fenrir (wolf myth.),*fanareis (m. Ja)
fetters,þo ana fotum eisarna (n. A)
fever,1. brinno (f. N) 2. heito (f. N)
few,faus (adj. A)
fiend,fijands (m. Cons.)
fierce (adj.),sleiþs (adj. I/Ja) (declined as -ja stem mostly)
fiery,funisks (adj. A)
fig,smakka (m. N)
fig tree,smakkabagms (m. A)
"fight, to",1. jiukan (III weak) 2. haifstjan (I i weak)»
(only occurs once) 3. weihan (I abl),
fighting,waihjo (f. N)
"fill, to","fulljan (I i weak), get filled, to"
film,*film (n. A)
filthiness,bisauleins (f. I/O)
filthy,~ lucre = aglaitigastalds (adj. A)
"find, to",bigitan (V abl)
finger,figgrs (m. A)
Finland,*Finnahaiþi (f. Jo) (Attested in the Getica by Jordanes)
Finn,*Finnahaiþs (m. A)
Finnish,*Finnisks (adj. A)
fire,"fon (noun) (gen. Sing. = funins, dat. Sing. = funin)"
first,"1. fruma (adj. A weak) (used for normal use of the word first, in counting) 2. frumists (adj. A) (used as “the very first” or “the very best”, not used in counting)"
firstfruit,ufarskafts (f. I)
fish,fisks (m. A)
fisher,fiskja (m. N)
fit,1. gatils (adj. A) 2. fagrs (adj. A)
"fit, to",gamanwjan (I i weak)
fitly,gatemiba
five,fimf
"fix, to (v.)",raidjan (I weak i)
flag,*fana (m. N)
flame,*ail (n. A)
"flee, to",afþliuhan (II abl) (perfective)
flesh,mammo (f. N) (human meat) 2. mimz (noun) (of meat to eat)
flight,þlauhs (m. I)
flock,aweþi (n. Ja)
flood,1. ahwa (f. O) 2. garunjo (f. N) 3. midjaswipains (f. I) (natural disaster)
"flood, to",swipan (III)
floor,gaþrask (n. A)
flow (v.),gutnan (IV weak)
flower,bloma (m. N)
"flower, to",*blauan (reconstructed by J.R.R. Tolkien)
flute,to play ~ = swiglon (II weak)
fly (n.),*fliugo (f. N)
"fly, to",*fliugan (II)
foam,hwaþo (f. N)
"follow, to",afarlaistjan (I i weak) + dat
follower,galaista (m. N)
foolish,unfroþs (adj. A)
foolishness,1. unwiti (n. Ja) 2. niuklahei (f. N)
foot,fotus (m. U)
football,*fotuballa (m. N)
footstool (n.),fotubaurd (n. A)
for,"1. (For as intention) dative use, eg. For him = imma 2. faur (for something) 3. in þis (because) 4. auk (only in second or third position) (synonym of because as giving a reason)"
"forbid, to","warjan (i weak j), God ~ = Nis-sijai"
forefathers,airizans (Comp. Weak)
forest,*widus (m. U)
"forget, to",ufarmunnon (II weak)
"forgive, to",fraletan (red abl)
forgiveness,fralet (n. A)
fork,1. *gabla (f. O) 2. *gabls (m. A)
form (n.),hiwi (n. Ja)
"form, to",gadigan (abl I)
formed,garaiþs (adj. A)
fornication,1. kalkinassus (m. U) 2. horinassus (m. U)
"forsake, to",bileiþan (I)
forum,*maþl (n. A) (online too)
"found, to",gasuljan (I j weak)
foundation,1. gaskafts (f. I) (as in foundation of the world) 2. *gasuleins (f. I/O) 3. grunduwaddjus (m. U) (stone wall)
fountain,brunna (m. N)
four,"fidwor, dat. = fidworim"
fox,fauho (f. N)
fragment,gabruko (f. O)
France,*Fragkaland (n. A)
free,"freis (adj. Ja), ~ from = freis (adj. Ja) + gen, for ~ / ~ of charge = arwjo (adv.)"
freedom,1. freihals (m. A) 2. frijei (f. N) (only one occurence)
freeman,fralets (m. Noun)
freemason,1. *freitimrja (m. N) 2. *frijatimrja (m. N)
freemasonry,*freitimreins (f. I/O) 2. *frijatimreins (f. I/O)
Freyja,frauja (f. O)
Freyr,fraujis (m. Ja)
"freeze, to",friusan (II)
Friday,*fraujins dags (m. A)
friend,1. (m.) frijonds (m. Nd) 2. (f.) frijondi (f. Jo)
fright,agis (n. A)
"frighten, to",usagjan (I weak j)
frog,*frusks (m. A)
frost,frius (n. A)
fruit,"akran (n. A), to bring ~ = gawrisqan (III abl)"
fruitless,akranalaus (adj. A)
fuck (n.) / exclamation,skohsl (n. A)
"fuck, to",*sairdan (III)
fulfilling,usfulleins (f. I/O)
full,fulls (adj. A) + gen (gen. is used when translated as full of)
fuller,wullareis (m. Ja)
fullness,fullo (f. N)
furtherance,framgahts (f. I)
future,1. *anawairþ (n. A) 2. anawairþs (adj. A)
futurologist (n.),1. *andwairþaleis (m. A) (declined like a strong adjective) 2. *andwairþaleisa (f. O) (declined like a strong adjective)
futurology (n.),1. *andwairþaleisei (f. N)
gain,faihugawaurki (n. Ja) (gain in possession)
"gain, to",gageigan (III weak) ~ from = bifaihon (II weak)
Galatia,Galatia (f. O)
Galatian,Galateis (m. I)
Galilee,Galeilaius (m. U/I)
garbage,maihstus (m. U)
garden,aurtigards (m. I)
garment,snaga (m. N)
gate,1. daur (n. A) 2. dauro (f. N)
"gather, to",lisan (V abl.)
gathering,gaqumþs (m. I)
gay,*samalustja (m. N) (homosexual)
Geat,*gauts (m. A)
genealogy,gabaurþiwaurd (n. A)
genitive,*gainiteibus (m. U)
Gentiles (n.),þiudos (f. O) (plural)
gentle,qairrus (adj. U)
gentleness,1. selei (fu. N) 2. mukamodei (f. N)
genuine (adj.),pistikeins (adj. A) (Greek)
geological,*airþaleis (adj. A)
geologist,1. *airþaleis (m. A) (declined like a strong adjective) 2. *airþaleisa (f. O) (declined like a strong adjective)
geology,*airþaleisei (f. N)
German,*gairmanisks (adj. A)
Germanism,*Gairmanismus (m. U)
Germany,*Gairmanja (f. O)
ghost,ahma (m. N) (disembodied spirit)
giant,1. *þauris (m. A) 2. *wrisja (m. N) (enormous)
gift,giba (f. O)
"gird, to",bigairdan (III abl)
girdle,gairda (f. O)
girl,mawilo (f. N)
"give, to",giban (V abl) + dat
giver,gibands (m. Nd)
glad,to be ~ = faginon (II weak)
gladly,gabaurjaba
gladness,swegniþa (f. O)
"glister, to (v.)",glitmunjan (I weak i)
"glitter, to (v.)",glitmunjan (I weak i)
global (adj.,1. ana airþai (lit. on the globe 2. krigglons (lit. of the globe)
global warming (n.),heito (f. N) midjungardis
globe (n.),1. *krigglo (f. N) (cf. Old Norse: heims-kringla) 2. *kūlo (f. N)
"glorified, to be (v.)",ushauhnan (IV weak)
"glorify, to",gasweran (III weak)
glory,wulþus (m. U)
glove,*lauhs (m. A)
glutton,afetja (m. N)
gnushing,krusts (m. Noun)
"go, to","gaggan (III red), ~ before (someone/something) = faurbigaggan (III red) ~ with = miþgaggan (III red)"
goal,mundrei (f. N)
goat,"gaits (m. I), ~’s milk = gaitimiluks (f. Cons.)"
God,"1. Guþ (m. A) (Abrahamic God) 2. Guþ (n. A) (other God then christian or jewish one), the form of ~ = gudaskaunei (f. N) 3. *ansus (m. U) (used for Germanic Gods)"
goddess,*gudeinja (f. Jo)
god-fearing,gudafaurhts (adj. A)
godless,gudalaus (adj. A)
godliness,gagudei (f. N)
godly,1. gudisks (adj. A) 2. gaguþs (adj. A)
gold,gulþ (n. A)
golden,gulþeins (adj. A)
good,goþs (adj. A)
goodness,selei (f. N)
goose,*gans (f. Cons.)
gospel,aiwaggeljo (f. N)
Goth,Guta (m. A)
Gothic (adj.),*Gutisks (adj. A)
Gothic (n.),"*Gutisk (n. A), Gutrazda (f. O)"
Gothiscandza,*Gutskaþja (f. Jo)
Goths,Gutþiuda (f. O) among the ~
government (n.),reikinassus (m. U)
governor,kindins (m. A)
grace,ansts (f. I)
gracious,hulþs (adj. A)
grains,"*finja (f. O) (Attested as the Gothic word “fenea” in De observatione Ciborum from Anthimus and as “fingia” in the Liber derivationum from Ugutio, the reconstruction given here is in Wulfilan Gothic)"
grandfather,*awa (m. N)
grandma,awo (f. N)
grandmother,awo (f. N)
grandpa,*awa (m. N)
grape,weinabasi (n. Ja)
grass,hawi (n. Ja)
grave,1. hlaiw (n. A) 2. gariuþs (adj. A)
graveyard,*nawistre gards (m. I)
great,mikils (adj. A)
greater,maiza (Comp.)
greatness,mikilei (f. N)
Greece,*Krekaland (n. A)
greed,1. faihufrikei (f. N) 2. faihugairnei (f. N) 3. faihugeiro (f. N)
Greek,Kreks (m. A)
green,*groneis (adj. Ja)
Greenland,*Groniland (n. A)
Greenlandic,1. *Gronilandisks (adj. A) 2. *Gronilandiska (adj. A) razda (f. O) (language)
greeting,goleins (f. I/O)
grey,1. *grews (adj. A) 2. *graus (adj. Wa) (W.E.)
grief (n.),saurga (f. O)
"groan, to",inrauhtjan (I weak i)
group,1. kuni (n. Ja) (tribe or subdivision of hierarchy) 2. kubitus (m. U) (group around table)
"grow, to",liudan (II abl) ~ older = usalþan (III red)
guest-chamber (n.),saliþwos (f. O) (plural)
hagiography,*weihameleins (f. I/O)
hagiology,*weihaleisei (f. N)
hail,hagl (n. A)
half,1. halba (f. O) 2. halbs (adj. A)
hall (n.),rohsns (f. I)
"hallowed, to be",weihnan (IV weak)
hand,handus (f. U)
"hang, to","hahan (III red), ~ oneself = ushahan sik (III red)"
"happen, to",wairþan (III)
harbor,*habana (f. O)
hard,1. hardus (adj. U) 2. aglus (adj. U) (synonym of difficult)
hardly,1. harduba (adv) (adverb of hard) 2. agluba (synonym of difficult) 3. halisaiw (barely)
hardness,~ of heart = harduhairtei (f. N)
haste,with ~ = sniumundo
"hasten, to (v.)",rinnan (III)
hatred (n.),hatis (n. A)
"have, to (v.)","haban (III weak) (for things which one possesses, for to have to, e.g. I have to, use skulan (pret. pres.).)"
hawk,*habuks (m. A)
hay (n.),hawi (n. Ja)
"heal, to",leikinon (II weak)
"healed, to be",gahailnan (IV weak)
healing,leikinassus (m. U)
"hear, to",1. hausjan (I i weak) 2. hausjon (II weak)
heart,"hairto (n. N), hardness of ~ = harduhairtei (f. N)"
heathens (n.),þiudos (f. O) (plural)
heaven,"himins (m. A) (never with article, accompanying adjective always declines strongly)"
heavenly,himinakunds (adj. A)
Hebrew,"1. Haibraius (m. U/I) (person) 2. *Haibraiwisks (adj. A), ~ language = *Haibraiwiska (adj. A) razda (f. O)"
hedge,faþa (f. O)
heel,fairzna (f. O)
height,hauhei (f. N)
heir,1. arbja (m. N) 2. arbinumja (m. N)
heiress,arbjo (f. N)
hell,"1. gaiainna (noun) (Greek) 2. halja (f. O), to ~ with you = *Diabaulus þuk nimai"
hello,"1. hails + voc (to a man), haila + voc (to a woman) 2. Golja þuk 3. Fagino"
helmet,hilms (m. A)
"help, to",1. hilpan (III abl) + gen. 2. niþan (V abl) + acc.
Helsinki,*Halsiggefurs
hem (n.),~ of a garment = skauts (*m. A)
hen,*hano (f. N)
henceforth,fram himma nu
herb,gras (n. A)
herd,hairda (f. O)
Herding (myth.),*hazdiggs (m. A)
here,her
Herodian,Herodianus (m. U/I)
Herule,*Airuls (m. A)
hero,*haliþs / *haluþs (m. Cons.)
"hew, to",~ out = ushulon (II weak)
hi,see: hello
"hide, to",affilhan (III abl)
hidden,1. analaugns (adj. I) 2. fulgins (adj. A)
Hierapolis,Iairapaulei (noun)
high,hauhs (adj. A)
higher,1. hauhis 2. auhuma (comp. Weak)
highly (adv.),hauhaba
highway,wigs (m. A)
hill,hlains (m. A)
hill-country,bairgahei (f. N)
him,imma (dat) ina (acc)
"hinder, to",analatjan (I j weak)
hip,hups (m. I)
hireling,asneis (m. Ja)
his,"is, seinis (gen. M/N), seinaizos (gen. F), seinamma (dat. M/N), seinai (dat. F), seinana (acc. M), seinaize (gen. M/N pl.), seinaizo (gen. F pl.), seinaim (dat. Pl.) seinans (acc. M. Pl.) seina (acc. N. Pl.), seinos (acc. F. Pl.) ( Sein- is used to refer back to a 3rd person subject. In these cases is (‘his’) or izos (‘her’) would also work. Is and izos would be necessary if the noun they refer back to is not the subject of the sentence. Example: Hunds meins beitiþ bain sein. My dog bites his bone. Hunds anþar beitiþ bain is (þatei ist bain hundis meinis). Another dog bites his bone (that is my dog’s bone). Sein- = ones own, is = of someone else) Explained by Iaihime"
history,*spill (n. A)
hither,hidre
Hlin (myth.),*Hleins (m. A)
Hoder (myth.),*Haflus (m. U)
hole,þairko (f. N)
holiness,weihiþa (f. O)
holocaust,alabrunsts (f. I)
holy,1. weihs (adj. A)
holyday (n.),dags (m. A) dulþais
home,"gards (m. I), to take ~ = in gard tiuhan, at ~ = anahaimeis (adj. Ja), far from ~ = afhaimeis (adj. Ja)"
homosexual,*samalustja (m. N)
homestead (n.),haimoþli (n. Ja)
honesty,gariudi (n. Ja)
honestly,garedaba
honey,"miliþ (n. A), bee ~ = biwamiliþ (n. A)"
honour,*swerei (f. N)
honourable,1. galaufs (adj. A) 2. gaguds (adj)
hook (n.),*anguls (m. A)
hooker (n.),kalkjo (f. N)
hope,1. wens (f. I) 2. lubains (f. I)
horse,*marhs (m. A)
hosanna,osanna
hospitable,gastigoþs (adj. A)
hospitality,gastigodei (f. N)
host,wairdus (m. U)
hostile,andaneiþs (adj. A)
hotel,*haribairgo (f. N)
hound (n.),hunds (m. A)
hour,"hweila (f. O), not for an ~ = ni hweilohun"
house,razn (n. A)
household,gards (m. I)
hovercraft,*ufarwataskip (n. A)
how,"1. (int.) hwaiwa 2. hwan ( as in: how narrow or how much, how nice)"
however,aþþan
human,manna (m. N)
humanity,manniskodus (m. U)
humble (adj.),hnaiws (adj. A)
humbleness (n.),hauneins (f. I/O)
hundredfold,•r• falþs (adj. A)
Hungarian,1. *Hungarus (m. U/I) 2. *Hungariska (adj. A) razda (f. O) 3. *Hungarisks (adj. A)
Hungary,*Hungarja (f. O)
hunger,1. gredus (m. U) 2. huhrus (m. U)
hungry,gredags (adj. A)
hunny,miliþ (n. A)
"hurry, to",sniwan (V abl)
husband,aba (m. N)
hymn (n.),hazeins (f. I/O)
hypocrite,1. liuts (adj. A) 2. liuta (m. N)
I,ik (only used for comparison or emphasis)
ice,*eis (n. A)
Iceland,*+eisaland (n. A)
ichthyology,*fiskaleisei (f. N)
idea,mitons (f. I)
identical (adj.),sama (adj. A)
ideological,*mitonileis (adj. A)
ideology,*mitonileisei (f. N)
idiot,1. (m.) dwala (m. N) 2. (f.) dwalo (f. N)
idolatry,galiugagude skalkinassus (m. U) (first part undeclined)
if,"1. ~, indeed (expected answer is yes) = jabai 2. (Expected answer is no), nibai 3. (Rhetorical) Ibai"
"illuminate, to",galiuhtjan (I weak)
illumination,*galiuhteins (f. I/O)
image,manleika (m. N)
imagination,gahugds (f. I)
immediately,suns
immortal,unriurs (adj. I)
immortality,undiwanei (f. N)
impetuous,gaheis (adj. Ja)
importance,wulþrs (f. I)
important,"wulþrais (genitive of sing. worth), it is ~ = wulþrais ist"
imprisonment,karkara (f. O)
"incinerate, to",*frabrannjan
incontinency,ungahobains (f. I)
increase,uswahst (f. I)
"increase, to",biaukan (VII)
independance,freihals (m. A)
infirmity,unmahts (f. I)
inheritance,arbi (n. Ja)
inheritor,arbinumja (m. N)
"injure, to",1. holon (II weak) 2. gaskaþjan (VI abl.)
injustice,ungaraihtei (f. N)
ink,*swartis (n. A)
insomuch,swaei
inspiration,ahmateins (f. I/O)
"instruct, to",usþroþjan (I weak i)
instruction,talzeins (f. I/O)
insult,ganaiteins (f. I/O)
"insult, to",(ga)naitjan (I weak i)
insurrection,auhjodus (m. U)
"intend, to",fauragahugjan (I weak j)
intention,muns (m. I)
intercession,liteins (f. I/O)
interest,leihwa (f. O) (finance)
international,*ufarmarkeis (adj. Ja)
internet,+*ganati (n. Ja)
"interrupt, to",warjan (I weak j)
intreaty,usbloteins (f. I/O)
invisible,*unanasiuns (adj. I)
inwardly,innaþro
iron,eisarneins (adj. A)
island,hulms (m. A)
Israel,Israel (m. A)
Israeli,1. Israelitus (m. U/I) (citizen) 2. *Israelisks (adj. A)
Italian,1. *Italus (m. U/I) 2. *Italiska (adj. A) razda 3. *Italisks (adj. A)
Italy,*Italja (f. O)
"itch, to",suþjan (I weak j)
jacket,paida (f. O)
Japan,(neol.) Iapan (m. A)
"jealous, to be",aljinon (II weak)
jeopardy (n.),to be in ~ = birekjai wisan (abl. V) Jericho
Jerusalem,Iairusalem (same in all cases except for genitive Iairusalems)
jesting,saldra (f. O)
Jesuit,*Iesuitus (m. U)
Jesus,Iesus (m. A)
Jew,Iudaius (m. U/I)
jewel,precious ~ = *airknastains (m. A)
Jewish,iudaiwisks (adj. A)
job,arbaiþs (f. I)
jobless (adj.),*arbaidiláus (adj. A)
"join, to",~ together = gagatilon (II weak)
joke,saldra (f. O)
Jordan,Iaurdanus (m. U/I)
journey,wratodus (m. U)
joy,faheþs (f. I)
Judea,Iudaia (f. O)
judge (n.),staua (m. N)
judgement (n.),1. staua (f. O)2. ragin (n. A) (As in an opinion)
jug,aurkeis (m. Ja)
just (adj.),1. goþs (adj. A) 2. garaihts (adj. A)
