English,Occidental
disperse,"disperser (-ion), dissipar"
dispirit,"decoragear, desanimar"
displace,"deplazzar; (from office) demisser, deposir, deposseder"
display,"(de)monstrar, exposir, paradar; (noun) exposition, etalation, spectacul, ostentation; (mil.) parade"
displease,"depleser (-ura), ofender"
disport oneself|disport,"amusar se, divertisser se"
disposal,"disposition, arbitrie, usa"
dispose,"disposir, arangear. to ~ of: disponer, vendir, alienar; (deal with) tractar. to be disposed: esser inclinat"
disposition,~; temperament
dispossess,"deposseder, privar de, expulser"
disprove,refutar
disproportion,desproportion (-al)
dispute,"disput (-ar, -ant, -aci, -ation, -ator), debatter, polemisar; n. contro verse, querelle"
disqualify,dequalificar (-ation)
disquiet,"ínquietar; (noun) perturbation, destranquilitá"
disquisition,dissertation disregard: ignorar; (noun) indiferentie
disrelish,haver aversion contra
disrepair,"mal statu, mal órdine,caducitá"
disrepute,"descredit, mal reputation"
disrespect,v. desrespectar
disrobe,devestir
disrupt,"disrupter (-ion, -iv)"
dissatisfy,"desatisfar (-ation, -atori)"
dissect,dissecter (-ion); (med.) anatomisar
dissemble,dissimular (-ation)
disseminate,dissemar (-ation)
dissension,"~, discordie"
dissent,"v. deconsentir, altrimen pensar; (eccl.) dissider"
dissenter,"dissidente, non-conformist"
dissertation,~
disservice,"mal servicie, damage"
dissever,"divider, dejunter, separar"
dissidence,discordantie; (rel.) dissidentie
dissimilar,dessimil (-itá)
dissimulate,(dis)simular
dissipate,"dissipar, disperser; prodigar"
dissipated,a. deboehat
dissociate,dissociar
dissolute,"debochant, libertin"
dissolution,"~ dissolve: (melt) dissoluer, evaporar se; anullar"
dissonant,~ (-ie)
dissuade,"dissuader (-sion, -siv), deconsiliar"
distaff,spindle
distant,"~ (-ie), lontan; (in manner) reservat"
distaste,"aversion, antipatíe"
distasteful,"desagreabil, antipatic"
distemper,"febre canin; (colouring) badigeon (-age, -ero); v. badigeonar"
distend,"distender (-sion), dilatar, expander"
distich,disticon
distil,"distillar (-ería, -ation, -ator)"
distinct,"distint (-iv), separat, clar"
distinction,"distintion, eminentie, honor; diferentie"
distinguish,distinter
distort,"distorder (-sion), defigurar, deformar"
distract,"trublar, distracter (-ion, -iv), confuser"
distraction,amusament; frenesie. to drive to ~: far frenetic
distrain,"sequestrar, confiscar"
distress,"misere, afliction, suffrentie; v. trublar, tormentar"
distribute,"distribuer (-tion, -tiv, -tor), disdar"
district,"districte, region"
distrust,misfider (-entie)
disturb,"(dis)turbar, genar, ínquietar; (disarrange) desordinar, íncomodar"
disunite,"desunir, divider"
disuse,n. desusu. disused: ne plu usat
disyllable,dusillabic parol
ditch,"fosse, canalette, tranché"
ditto,"dito, idem, lu sam"
ditty,canzonette
diurnal,"dial, diari, quotidian"
divan,"~, sofa"
dive,"plongear (-gero), merser"
diver,(ornith.) colimbe; (professional) scafandriero
diverge,"diverger (-ent, -entie)"
diverse,"diversi (-ficar, -tá), pluri"
diversion,"divertissement, passa-témpor, distraction"
divert,"detornar, deflecter, deflancar; amusar, divertisser"
divest,"devestir, privar"
divide,"divider, partir; secter"
dividend,dividende
divine,"a. divin (-itá), deal, cielest; (noun) teolog (-ie); v. divinar (-ation, -ator)"
divining-rod,verge divinatori
diving-suit,scafandre
division,"~ (-al), districte; classe, section"
divisor,~
divorce,divorcie (-ar)
divulge,"divulgar (-ation), revelar"
dizziness,vertígine (-osi)
do,"far, acter, executer; (of health) standar. how do you ~?: qualmen vu standa? to ~ without: carir, dispensar se de. will that ~?: esque to es apt, esque to sufice?"
docile,"docil (-itá), obedient"
dock,"(bot.) oxale; (naut.) dock, bassine (-ero); (law) piazza por acusatos; v. acurtar li caude; (a ship) inbassinar"
docket,"etiquette, billet"
doctor,"medico; (of law etc.) doctor (-atu); v. medicar, curar"
doctrine,"~ (-al, -ari, -ario)"
document,"~ (-ari, -al)"
dodder,chancelar. doddering: caduc
dodge,"artificie, tric; v. evitar; saltar ad-látere"
dodo,dronte
doe,"cerva, capreola"
doff,demetter
dog,"cane (-in, -allia) v. to ~ one's steps: persequer"
dog-days,"dies caniculari, caniculas"
dog-fancier,cane-cultor
dogged,"a. tenaci, obstinat, infatigabil"
doggerel,"versaches, rimallia"
dog-rose,savagi rose
dog-star,sírius
dogma,~ (tic)
doing,"that was your ~: ta vu es culpabil, pri to vu es responsabil"
dole,"(share) parte, portion; almosne; v. ( ~ out) partir, distribuer"
doleful,"morni, trist"
doll,pupé
dollar,dóllar
dolomite,dólomit
dolorous,dolorosi
dolphin,delfine
dolt,"stulton, plumpon"
domain,dominia; (estate) domene
dome,cupol
domestic,"a. domestic (-a, -o, -ar, -itá)"
domicile,"domicilie, habitation, logí"
dominate,dominar (-ation)
domineer,tirannisar
dominion,"hegemonie, soveranitá, regne; (territory) dominia"
doming,dominó
don,"v. metter, vestir se per; (noun) colegial preceptor"
donate,"donar (-ation, -ator)"
donkey,ásino (-in)
doom,"fate, destine, ruine, perition; (law) sententie; v. condamnar"
door,porta. ~keeper: portero
dope,narcotisar
dormant,dormient
dormer-window,tegment-fenestre
dormitory,dormitoria
dormouse,glire
dorsal,~
dose,dose (-ar)
dot,punctu
dotage,"imbecilitá, radotage"
dotard,"oldastro, caduco"
dote,radotar. ~ on: esser inamorat in
double,a. duplic (-ar); (noun) duplicon
double-barrelled,con du tubes
double-dealing,"falsada, duperíe"
doublet,camisol
doubt,"dúbite, (-ar, -abil, -osi)"
douche,duche
dough,pasta
doughty,"brav, corageosi"
dour,"obstinaci, dur, ínflexibil"
douse,(dip) merser
dove,columbe
dovecot,columbiera
dovetail,mortesar
dowager,vidua
dowdy,"oldmodic, ínelegant"
dower,dot (-ar)
down,"(below) infra. to go ~: descender; (along) along, tra; (noun) lanuge"
downcast,"depresset, decorageat"
downfall,"ruina, perition, cade"
downhill,"a bass, a valléy"
downpour,"pluvia, torrent, diluvie"
downright,"a. franc, sinceri. ~ nonsense: nequo altri quam nonsense. a ~ fool: un absolut folio"
downstairs,in infra
downtrodden,"aplastat, supresset"
downward,ad-infra; a. descendent
dowry,dot
dowsing,"radiestesie, divination per verge"
doxology,doxologie
doze,"(noun) somniacie; v. dormiettar, somnoler"
dozen,"dozene, deciduene"
drab,"monoton, brun-grisi; inatrativ; n. salopa"
draft,"(money) tratte; (mil.) section; (lit.) esquisse, plan, concepte, cladde; v. (draw up) redacter; (mil.) misser, selecter, expedir"
drag,"trenar, tirar; (dredge) draggar; (noun) dragg; impediment"
draggle,trenar in mudde
dragon,dracon
dragon-fly,libellul
dragoon,dragon
drain,"drenar (-age, -ation). drains (brewer's etc.) recrement; (sewer) cloaca"
drainpipe,dren-tub
drake,anato
drama,"~ (-tic, -tisar, -turg, -turgie)"
drape,"drapar (-ero, -eríe)"
drastic,~
draught,"tira; aer-currente; (med.) tisane; (on paper) esquisse, dessin, plan, projecte"
draughts,dama-lude
draughtsman,dessinator; (in game) pezze
draughty,ventosi
draw,"(pull) tirar, traer, atraer; (drag) trenar; (water) hauster; (on paper) dessinar; (lots) lotar; (~ near) aproximar se; (noun) (sport) egalitá"
drawback,desavantage
draw-bridge,"tir-ponte, ponte levabil"
drawer,"tiruore, tirbux, tircheste. chest of ~: comode"
drawers,calson
drawing,"dessin, li dessination. ~ board: dessinuore"
drawing-room,salon
drawl,v. trenar li paroles; (noun) tren parlada
dray,bass carre
dread,"v. timer (-ore), horrer (-ore)"
dreadful,"horribil, terribil"
dream,somnie. day~: reve (-ar)
dreamy,"revaci, revosi"
dreary,"desert, trist"
dredge,draggar
dredger,"mudd-haustor, dragg-machine; (ship) draggator"
dregs,sediment
drench,"saturar (per aqua), balnear"
dress,"vestir; (garnish) ornar, decorar; (wound) bandagear; (food) preparar, apretar; (noun) vestiment, costume, robe. in full ~: in gala. dress-coat: frac"
dressing-table,toilette-table
dressmaker,tallier(ess)a
dribble,guttear; (as child) bavar; (foot ball) dribblar
drift,"tendentie, impulse, scope: (snow~) nive-banca; (naut.) drive (-ar), flottar con li currente; (wander) vagar"
drill,"v. (per)forar, drillar; (mil.) dresser, exercir (-ida, -itie); (noun) exercida; (tool) drill; (hort.) sulca"
drink,trincar (-age). to ~ to: tostar
drip,guttear
dripping,"rost-grasse, grasse culinari"
drive,"v. a. conductor, far functionar, far avansar, far ear, propulser, promoer; (a horse) ducter; (a machine) mo(v)er, operar, vehicular, choferar; (compel) fortiar; (noun) promenada, excursion; (road) calech-via, allé"
drivel,"radotar, parlar ínepties; (slaver) bavar"
driver,"cochero, chofero, conductor"
drizzle,"pluviette (-ar, -ada)"
droll,"drolli (-eríe), comic"
dromedary,dromedare
drone,"(bee) ~; (hum) murmurada, burdonament"
droop,"pender, clinar se; (wither) marcir"
drop,gutte; (fall) cade; v. (let fall) lassar cader
dropsy,hidropsie
dross,"(metals) scorie, residues, scumallia; sinvalorage"
drought,"siccore, ariditá, manca de pluvie"
drove,"truppe de boves, bestie-truppe, greg"
drown,dronar
drowsy,"somnolent, dormiaci"
drub,"batter, bastonar"
drudge,"quasi-sclave (-a), marmiton"
drudgery,"strapacie, penosi labore"
drug,"drogue (-ist), medicament; v. narcot isar, intoxicar"
druid,druide (-ic)
drum,"tambur (-ar, -ero, -ist); cilindre; (of ear) timpane"
drunk|drunken,"ebri, ebriat (in-ar)"
drunkard,"trincard, trincon"
drunkenness,"ebrietá, trinc-manie"
dry,"sicc, arid; (fig.) laconic, íninteressant, enoyant; v. assiccar"
dry-rot,planc-fungo
dual,~ (-isme)
dub,"nominar, titular"
dubious,dubitosi
ducal,~
ducat,ducate
duchess,ducessa
duck,"(bird) anate; v. clinar se, bassar se; (immerse) merser"
duckweed,lemna
duct,"tub, canale"
ductile,"ductil (-itá), malleabil"
dudgeon,"colere, ressentiment, rancore"
due,a. payand; (seemly) convenent. in ~ time: in just témpor. this is ~ to carelessness: to es debit a ínatention. to give everyone his ~: dar a chascun li sui.
dues,impost
duel,"duelle (-ar, -ante)"
duet,duett
dug,"(noun) tette, but on de mamme"
duke,"due (-al, -atu, -essa)"
dulcet,dulci
dulcimer,clavicímbal
dull,"(of sound) obtusi, insonori; (blunt) desacut; (stupid) stult, inept, stupid; (uninteresting) enoyant; (colour) pallid, matt, falb; v. blasar, stupefar"
duly,justmen; (often not translated)
dumb,mut
dumb-bell,haltere
dummy,muto; imitation; (baby's) sucette
dump,"v. (comm.) dumpar; jettar, deposir, bascular; (noun) cumul de jettallia, amasse"
dumps,"melanoolie, mal humor"
dumpy,stumpi; curt e spess
dun,gris-brun; v. importunar; postular payament
dunce,stulton
dune,~
dung,"sterco (-ar), excrement"
dungeon,cárcere subterran
dupe,"dupar, fraudar, bluffar; (noun) dupe"
duplicate,v. duplicar (-ate)
duplicity,"duplicitá, perfidie"
durable,"durabil (-itá), stabil"
duration,"~, durada"
duress,"prison, cárcer, arest"
during,durante
dusk,crepuscul; (morning) aurora
dusky,"obscur, nigratri"
dust,"polve (-osi); v. (remove ~) terger, essuyar, depolvar; (to powder) surpluverar. it is dusty: it polvea"
duster,"tergette, polv-linage, essuyette"
dustpan,cindriere
duty,"deve(ntie); (on goods) impost, tribu te. duty free: exempt de doane. to be on -: dejorar"
dwarf,"pigmé, nan. he dwarfed his companion: su compane aspectet apu il quam un nano, il nanisat su compane"
dwell,"logiar, habitar. to ~ upon: emfasar, tractar detalliatmen"
dwelling,"logí, logiment, domicilie, habitation"
dwindle,"decrescer, diminuer"
dye,"tinctura, pigment (-ar), color"
dyke,"diga(ment), tranché"
dynamite,dinamite
dynamo,"dinamo (-ic, -ica, -ist, -isme, -ometre)"
dynasty,dinastie (-ic)
dysentery,disenterie
dyspepsia,dispepsie
dyspeptic,dispeptic
each,"chascun, singul"
each other|each|other,unaltru
eager,"zelosi, fervent, fervorosi, ardent; avid"
eagle,áqu.il (-in)
ear,orel; (of corn) spica; (for music) audie musical
ear-ache,orel-dolore
ear-splitting,assurdant
earl,comto (-atu)
early,"tost, temporan"
earn,ganiar; meriter
earnings,ganie
earnest,"sinceri, fervid, zelosi. in ~: seriosi; (noun) garantie"
earth,"terre, suol; (the ~) terra (-an, -estri)"
earthenware,"potteríe, fayance"
earthquake,"sisme, terr-tremore"
earwig,forficul
ease,"comfort, repose, tranquilitá; facilita, at ease: sin gena; v. facilisar, aleviar, mitigar"
easel,stative
east,"oriente, ost"
easter,pasca (-al)
easy,"facil (-itá), levi, tranquil"
easy-chair,fotel
easy-going,"indulgent, benigni, tolerant"
eat,"manjar, vorar. ~ into: coroder"
eatables,"comestibles, victuales, manjages"
eau-de-cologne,aqua de colonia
eaves,"bord de tegment, guttiere"
eavesdrop,v. subescutar (-ard)
ebb,"bass marea, reflut. ~ and flow: flut e reflut"
ebony,eben
ebullient,bolllent
eccentric,"excentric (-itá); (noun) originale, particulard"
ecclesiastic,"eclesiastic (-o), eclesial"
echo,"ecó (-ar), repercusser (se)"
eclat,eclate (-ant)
eclectic,~
eclipse,~
ecliptic,a. ~; (noun) ecliptica
economy,"economie (-ic, -ist, -isar), sparniada"
ecstasy,extase (-tic)
eczema,~
eddy,virl (-ar)
edentate,edentat
edge,"bord, márgine; (of knife) tranchante; v. orlar, bordurar; (put an ~ on) acutar. set on ~: exasperar, iritar"
edging,n. bordura
edible,manjabil
edict,edicte
edifice,"edificie, structura"
edify,edificar (-ation)
edit,"redacter (-ion, -or, -oria)"
editorial,(noun) articul redactori
educate,"educar (-ation, -ator, -ativ)"
educated,"instructet, doct, erudit"
eel,anguille. ~basket: nasse
eerie,"magic, ínquietant, fantomátri"
efface,"efaciar, exterger, extinter, anullar"
effect,"efecte (-er, -iv, -ivar), resultate, consequentie. in ~: in realitá. to no ~: in van. to carry into ~: executer, efectivar; (accomplish) efectuar"
effectual,"efectiv, eficaci"
effectuate,"efectuar, realisar"
effeminate,"efeminat, feminil"
effervesce,"efervescer (-ent, -entie)"
effete,"caduc, decadent"
efficacious,eficaci
efficient,"eficient, capabil, competent; (effective) efectiv"
effigy,efigie
effloresce,florescer
effluence,"e(x)fluentie, emanation"
effluvium,"exhalation, miasma"
effort,"efortie, efortiation, pena"
effrontery,impertinentie
effulgent,"splendent, radiant"
effuse,"efuser (-ion, -iv)"
egg,ove. white of ~: albúmine
egg-gup,oviero
egg-shell,cortice de ove
to egg on|egg,"incitar, instigar"
eglantine,rose savagi
ego,"~ (-ist, -istic, -isme)"
egregious,"monstruosi, extraordinari, colossal"
egress,"exeada, surtida"
eiderdown,eiderdon
eight,ott. eighth: ottesim
eighteen,deci-ott
eighty,ottanti
either,"alcun. either ... or: sive ...sive, o ... o; (each) chascun; (both) ambi"
ejaculate,"exclamar, ejacular"
eject,"ejecter (-ion, -or), expulser"
eke out|eke,"prolongar, supleer"
elaborate,elaborar (-ation)
elapse,"passar, expirar, preterir"
elastic,a. ~ (-itá); (noun) gumme; elasticage
elate,"exaltar, far gay, far fieri"
elbow,cude; v. pussar per li cude. ~ rest: cuduore
elder 1.|elder,(eccl.) presbitero
elder 2.|elder,(bot.) sambuc
elder 3.|elder,a. plu old. elderly: oldatri
elect,"v. (to office) electer (-ion, -iv); selector, preferer; a. electet"
electioneer,v. agitar por influentiar votation
elector,"~ (-al, -atu)"
electric|electrical,electric (-itá)
electrician,electrico
electricity works|electricity,electrogeneratoria
electrify,electrisar
electrode,~
electro-,"as in english: electro-cuter, -lise, -magnete, -motor"
electron,~ (-ic)
electroplate,v. electro-argentar
eleemosynary,almosnari
elegant,"~ (-ie), gracil, chic"
elegy,elegie
element,"~ (-al, -ari), parte, ingrediente"
elephant,elefant (-in)
elevate,"elevar (-ation, -ator), edificar"
elevation,altore
eleven,deci-un
elf,"~, silf"
elicit,"educter, extraer"
elide,"edider (-sion, -sibil)"
eligible,"electibil, selectibil"
eliminate,"eliminar (-ation, -atori)"
elision,~
elite,elite
elixir,elixire
elk,alce
ell,"cudade, ulne"
ellipse,elipse (-tic)
elm,ulm
elocution,"discurse, articulation"
elongate,elongar (-ation)
elope,forcurrer
eloquent,~ (-ie)
else,adv. altrimen. nothing ~: nequó altri
elucidate,"elucidar (-ation), eclarar"
elude,"evitar, escapar, eluder, circumear"
emaciated,"marasmat, magri"
emanate,"emanar (-ation), exfluer, provenir"
emancipate,"emancipar (-ation), liberar"
emasculate,"castrar, emascular"
embalm,inbalsamar
embank,"circumdigar, invallar"
embankment,"diga, vail"
embargo,"~ , barre"
embark,inbarcar. ~ upon: interprender
embarrass,embarassar (-ament)
embassy,"ambassade (-or), legation"
embattled,"pret por battallie, ordinat por battallie; crenellat"
embed,"inbedar, plantar, fixar"
embellish,"ornar, abellar"
ember,ardent cindre. embers: (wood) brase
embezzle,defraudar
embitter,amarisar
emblazon,inblazonar
emblem,"emblema (-tic), devise"
embody,"incarnar, incorporar, includer"
embolden,incoragear
embonpoint,corpulentie
emboss,"bossar, reliefar, bosselar"
embrace,"inbrassar, circumbrassar"
embrasure,embrasura
embrocation,frotte-remedie
embroider,"brodar (-erie, -ero)"
embroil,"implicar, inbrolliar (ye); (things) complicar"
embryo,embrion (-ic)
emend,"emendar (-ation, -abil)"
emerald,smeralde
emerge,"emerser, aparir"
emergency,"casu inprevidet, casu urgent. ~ exit: porta de securitá"
emeritus,emerit
emery,smeril
emetic,"a. vomitiv; n. vomitive, emetica"
emigrate,"emigrar (-ant, -ation)"
eminent,~ (-ie)
emir,~
emissary,emissario
emit,emisser (-ion); far audir
emmet,formic
emollient,emollant
emolument,"honorarie, emolument"
emotion,"~ (-al, -alisme)"
emperor,imperator (-tressa)
emphasis,"emfase (-ar, -tic)"
empire,"imperie, regnum; (land) imperia"
empiric,~
employ,"employar (-ament, -ate); ocupar; usar, utilisar, aplicar; prender in servicie"
emporium,"magasine, bazar"
empower,autorisar
empress,imperatressa
empty,vacui (-tá); v. (e)vacuar
emu,~
emulate,emular (-ation)
emulsion,~
enable,"dar li possibilitá, permisser"
enact,decreter; (perform) far
enamel,esmalte (-ar)
enamour,inamorar
encage,incagear
encamp,(mil.) campar se
encampment,campation; (fortification) forteresse
encash,incassar
enceinte,gravid
enchain,incatenar
enchant,"charmar, ravisser, fascinar; insorciar"
encircle,"circumdar, circumar, incircular, cernar"
enclose,"includer, contener, junter; (fence in) inpalissadar, inhagar"
enclosure,(in letter) includete; (field) inhagatura
encomium,"laudation, elogie"
encompass,"includer, cernar, inbrassar"
encore,"denove!, bis!, da capo!"
encounter,incontra (-ar); combatte
encourage,"incoragear, stimular"
encroach on|encroach,"trader se a, inmixter se in; (of sea) eroder"
encrust,incrustar
encumber,"genar, surchargear, impedir, incombrar"
encyclopedia,enciclopedie
end,"fine, extremitá (aim) scope; v. finir, terminar"
endanger,indangerar
endear,"incarar, far car, far amat, popularisar"
endeavour,"penar, efortiar se"
ending,"finition, finale; fine"
endive,endivie
endless,"sin fine, ínterminabil"
endorse,indossar
endow,"dotar, furnir per"
endure,"suffrer, tolerar, suportar, durar"
enema,"clistere, lavament"
enemy,"inamíco, adversario"
energy,energie (-ic)
enervate,"enervar, debilisar"
enfeeble,debilisar
enfold,"invelopar, cernar, inbrassar"
enforce,"efectivar, infortiar, validisar"
enfranchise,"dar jure de electer, dar li sufragie; liberar"
engage,(pledge) ingagear; (hire) luar; (employ) employar; (in work etc.) ocupar se per; implicar se; (mil.) ataccar; (~ upon) interprender
engaged,ocupat; (betrothed) spondet
engagement,"rendevú, arangeament; (betrothal) sponsion"
engaging,"a. charmant, atrativ, suavi"
engender,"generar, causar, producter"
engine,"machine, locomotive"
engineer,"ingeniero, técnico; v. elaborar, constructer, efectuar, causar"
engird,"cinter, cernar"
english,"a. anglesi (-o, -a)"
engrave,"graver (-ero, -ura)"
engross,"absorpter (-ion, -iv)"
engulf,"devorar, glotir"
enhance,augmentar
enigma,~ (-tic)
enjoin,"ordonar, advertir"
enjoy,"juir, amusar se per"
enjoyment,"juition, plesura"
enlarge,"agrandar, augmentar, expander"
enlighten,"informar, lucidar, aclarar, explicar"
enlightened,"civllisat, erudit"
enlist,"adherer a; (mil.) inrolar se, recrutar, devenir soldat"
enliven,"animar, viventar"
enmity,"ínamicitá, odie"
ennoble,"anoblar, exaltar"
ennui,enoya
enormity,atrocitá
enormous,"enorm (-itá), grandissim, imensi"
enough,"suficent (-ie, -men), sat. enough!: basta!"
enquire,"informar se pri, questionar, inquisir, demandar; (~ into) explorar, investigar"
enquiry,"inqueste (-er, -or), demanda"
enrage,"colerar, arabiar, infuriar"
enrapture,"delectar, charmar, rarisser, entusiasmar"
enrich,"arichar, inrichar"
enrol,"inscrir, (in)registrar, inrolar (se)"
ensconce,installar se. ensconced in his chair: plongeat in su fotel
enshrine,conservar quam reliquie
enshroud,"invelopar, velar"
ensign,"standarte, baniere"
enslave,"insclavar, subjugar"
ensnare,"capter (in lace o sling), seducter, atrappar"
ensue,"sequer, evenir"
ensure,"far cert, assecurar"
entail,"v. involuer, implicar? necessitar, imposir; (noun) ínalienabil heredage"
entangle,"implicar, involuer, capter, inbrolliar"
enter,"intrar, inear; (in a bock) inscrir, registrar. enter upon: comensar, interprender"
enterprise,"interprense, iniciative"
entertain,"intertener, divertisser, amusar; acceptar, dar hospedalitá, regalar"
entertainment,"divertissement, hospedalitá"
enthral,"ravisser, fascinar; subjugar"
enthrone,intronar
enthusiasm,"entusiasme (-ar, -ast, -astic)"
entice,"seducter, lurar, atraer"
entire,"a. tot, complet, integri"
entitle,titular. he is entitled to say: il es in jure dir
entity,"ente, entitá"
entomb,"interrar, sepulter, inhumar"
entomologist,entomolog (-ie)
entrails,"visceres, intrallia, intestines"
entrain,inbarcar in un tren
entrance 1.|entrance,"(place) intrada, porta (threshold) sill"
entrance 2.|entrance,"v. extasiar, ravisser"
entrap,"capter, atrappar"
entreat,"implorar, suplicar"
entree,accesse; (dish) entré
entrench,"(mil.) intranchear, fortificar"
entrust,"confider, comisser"
entry,intrada; inscrition
entwine,"(inter)plecter, inlacear"
enumerate,"enumerar (-ation, -ator)"
enunciate,"enunciar (-ation), declarar"
envelop,invelopar
envelope,n. covert
envenom,"venenar, exasperar"
environ,"v. circumdar, assediar"
environment,"circumité, vicinité"
envisage,"contemplar, previder"
envoy,"inviato, legato"
envy,"invidie (-ar, -osi, -abil)"
enwrap,"invelopar, inballar"
epaulette,epolette
ephemeral,efemeri
epic,a. ~; (noun) epopé
epicure,"epicuréo, gurmand(on)"
epidemic,(noun) epidemie (-ic)
epidermis,"epiderma (-al, -tic)"
epigram,epigramma (-tic)
epilepsy,epilepsie (-tic)
epilogue,epilog
epiphany,epifanie
episcopal,"episcopal (-atu, -ia)"
episode,"~, incidente"
epistle,epistul (-ari)
epitaph,"epitafie, inscrition"
epithet,epitete
epitome,"epitomé, compendie"
epoch,epoca
epopee,epopé
epos,~
equable,"placid, uniform, ínvariabil"
equal,"egal (-isar, -itá, -itari)"
equanimity,"calmesse, tranquilanimitá"
equate,egalisar
equation,~
equator,~ (-al)
equerry,"stall-mastro, oficero del reyal menage"
equestrian,cavalcator; a. cavalcatori
equi~,"as in english: equi~angulari, -distant, -librie, -lateral, -noctie"
eqquine,cavallatri
equip,"equipar, provider (per), munir"
equipage,"~, suita"
equipment,"equipament, tacle"
equipoise,equilibria
equitable,"just, ínpartial, equitabil"
equity,equitá
equivalent,~ (-ie). to be ~: equivaler
equivocal,"ambigui, equivoc"
era,~
eradicate,"eradicar, extirpar"
erase,"efaciar, exscrapar, eraser (-ura)"
ere,ante. ere long: pos ne long (témpor)
erect,"erecter (-ion, -iv, -ibil); (mech.) monter"
ergo,~
ermine,hermeline; (fur) hermelin-pelisse
erode,"eroder (-sion, -siv)"
erotic,~
err,"errar (-osi), vagar, deviar"
errand,"missage, comission, comende, ~ boy: missage-boy"
erroneous,"íncorect, fals, errosi"
error,errore
eructate,ructar (-ation)
erudite,"erudit, doct"
erupt,"erupter (-ion, -iv)"
erysipelas,erisipel
escalade,scalada
escape,"escapar (-ation, -ada), evitar"
escapement,"ascapament, escapette"
escarpment,scarpament
eschew,evitar
escort,"escortar, acompaniar, convoyar; n. escorte"
escutcheon,"insigne, scud"
eskimo,eskimó
esophagus,esofag
esdteric,~
espalier,spaliere
especial,apart
especially,precipue
espionage,spionage
esplanade,~
espouse,"maritar; suportar, defender"
esprit,"esprite, genie"
espy,"percepter, vider"
essay,"v. essayar, provar, experimentar; n. composition, essaye"
essence,"essentie (-al), spíritu, substantie"
establish,"etablisser, fundar, instituer; (as a fact) constatar"
estate,"proprieté, possedage; (land) domene; (state) statu, condition; rang"
esteem,"estimar (-ation, -abil), respectar, considerar; n. estima"
estimate,"apreciar, taxar; opiner, evaluar estrade: ~"
estrange,alienar
estuary,"estuarie, inboccatura"
etcetera|etc.,"etcéteri, etc."
etch,rader
etching,radura
eternal,"etern (-itá, -isar)"
ether,étere (-ic)
ethical,etic (-a)
ethnic|ethnical,etnic
ethnology,etnologie (-ie) etnica
etiology,etiologie
etiquette,"~, ceremonials, more"
etymologist,"etimologo (-ic, -ie)"
eucharist,eucaristie
eulogise,"laudar, glorificar"
eulogy,"elogie, laudation, panegire"
eunuch,"eunuc, castrato"
euphemism,eufemie
euphony,"eufonie (-ic), harmonie, bellsonantie"
euphuism,"afectation, pedanteríe"
evacuate,evacuar (-ation)
evade,"evitar, evader (-sion, -siv); escapar"
evanescent,"desaparient, efemeri"
evangel,evangelie (-ic)
evaporate,evaporar (-ation)
even,"(flat) plan, plat; (smooth) glatt; (equal) egal, quitt; (not odd) pari; adv. mem; they paid even more than we: ili payat mem plu quam noi. ~ so: e ancor"
evening|eve,véspere
evening-dress,costume de societé
event,"eveniment, eventu, casu"
eventual,"resultant, final"
eventually,"finalmen, in fine"
ever,"sempre; (to show emphasis) -cunc. whatever: quocunc; (at any time) alquande, jamá. for ~: por sempre"
evergreen,(bot.) sempreverde
everlasting,"etern, perpetui, continui"
every,(each) chascun; (all) omni
everybody,chascun
everything,"omnicós, omno"
everywhere,"partú, in omni loc"
evict,"evicter (-ion), expulser"
evidence,"testimonie, atestation, indicationes. circumstantial ~: indicies"
evident,~
evil,"mal, malevolent, maliciosi; (noun) male, lu mal"
evince,"indicar, manifestar, monstrar"
eviscerate,eviscerar
evoke,evocar (-ation)
evolve,"evoluer, developar"
evolution,"~ (-ari, -ist)"
ewe,agna
ewer,"aquiere, aqua-cruche"
ex-,"as in english: ex-oficero, -presidente"
exacerbate,"exacerbar (-ation), agravar,"
exact,"~ (-itá), precisi; v. exiger, extorder, postular"
exaggerate,exagerar (-ation)
exalt,"exaltar (-ation), laudar"
exalted,"eminent, altissim, exaltat"
examine,"examinar (-ation, -ator), investigar; inquisir, provar; (med.) sondar"
example,"(instance) exemple; (copy) exemplare; (sample) mustre, specimen"
exasperate,"exasperar (-ation), iritar"
excavate,"excavar (-ation, -ator), exfossar, subminar"
exceed,"exceder (-ent), transpassar,superar, superpassar"
exceedingly,"excessivmen, extremmen"
excel,"exceller (-ent, -entie), eminer"
except,"v. excepter (-ion, -ional); (prep.) except; (conj.) except que, si ... ne"
excerpt,"excerpte (-er), resumé"
excess,~
exchange,"v. exchangear; (noun) exchange; (building) burse. rate of ~: curse de exchange, valuta. in ~: in revancha"
exchequer,"fisco, casse statal"
excise 1.|excise,"accise, impost"
excise 2.|excise,v. exciser (-ion)
excite,"excitar (-abil, -ation, -ant)"
exclaim,"exclamar (-ation, -ativ, -atori)"
exclude,"excluder (-sion, -siv, -sivitá)"
excommunicate,excomunier (-ion)
excoriate,"excoriar, scrappar"
excrement,"~ (-ari), fecallia"
excrescence,excrescentie
excrete,excreer (-tion)
excruciating,tormentant
exculpate,exculpar (-ation)
excursion,"~, tur"
excuse,excusa (-ar); pretexte
execrate,"execrar (-abil, -ation), maledir, abominar"
execute,"executer ( -ion, -iv, -ero, -ori)"
executioner,executor
exemplary,"exemplari, modellic"
exempt,a. ~ (de); v. exempter (-ion)
